"ID","protein-ID","species-ID","group-ID","spec-Type","spec-No"
"PRTD_ERWCH","PRTD","ERWCH","P0810","P",810
"PSAA_CHLRE","PSAA","CHLRE","E8620","E",8620
"PSAA_EUGGR","PSAA","EUGGR","E8750","E",8750
"PSAA_MAIZE","PSAA","MAIZE","E9940","E",9940
"PSAA_MARPO","PSAA","MARPO","E8910","E",8910
"PSAA_ORYSA","PSAA","ORYSA","E9940","E",9940
"PSAA_PEA","PSAA","PEA","E9670","E",9670
"PSAA_SPIOL","PSAA","SPIOL","E9490","E",9490
"PSAA_SYNEN","PSAA","SYNEN","P0050","P",50
"PSAA_SYNP2","PSAA","SYNP2","P0050","P",50
"PSAA_SYNVU","PSAA","SYNVU","P0050","P",50
"PSAA_SYNY3","PSAA","SYNY3","P0050","P",50
"PSAA_TOBAC","PSAA","TOBAC","E9820","E",9820
"PSAB_CHLRE","PSAB","CHLRE","E8620","E",8620
"PSAB_EUGGR","PSAB","EUGGR","E8750","E",8750
"PSAB_MAIZE","PSAB","MAIZE","E9940","E",9940
"PSAB_MARPO","PSAB","MARPO","E8910","E",8910
"PSAB_ORYSA","PSAB","ORYSA","E9940","E",9940
"PSAB_PEA","PSAB","PEA","E9670","E",9670
"PSAB_SPIOL","PSAB","SPIOL","E9490","E",9490
"PSAB_SYNEN","PSAB","SYNEN","P0050","P",50
"PSAB_SYNP2","PSAB","SYNP2","P0050","P",50
"PSAB_SYNY3","PSAB","SYNY3","P0050","P",50
"PSAB_TOBAC","PSAB","TOBAC","E9820","E",9820
"PSAH_HORVU","PSAH","HORVU","E9940","E",9940
"PSAH_ORYSA","PSAH","ORYSA","E9940","E",9940
"PSAH_SPIOL","PSAH","SPIOL","E9490","E",9490
"PSAI_AEGCR","PSAI","AEGCR","E9950","E",9950
"PSAI_ANAVA","PSAI","ANAVA","P0070","P",70
"PSAI_ANGLY","PSAI","ANGLY","E8940","E",8940
"PSAI_HORVU","PSAI","HORVU","E9940","E",9940
"PSAI_MARPO","PSAI","MARPO","E8910","E",8910
"PSAI_ORYSA","PSAI","ORYSA","E9940","E",9940
"PSAI_PEA","PSAI","PEA","E9670","E",9670
"PSAI_SPIOL","PSAI","SPIOL","E9490","E",9490
"PSAI_SYNEN","PSAI","SYNEN","P0050","P",50
"PSAI_TOBAC","PSAI","TOBAC","E9820","E",9820
"PSAJ_ANAVA","PSAJ","ANAVA","P0070","P",70
"PSAJ_EUGGR","PSAJ","EUGGR","E8750","E",8750
"PSAJ_MAIZE","PSAJ","MAIZE","E9940","E",9940
"PSAJ_MARPO","PSAJ","MARPO","E8910","E",8910
"PSAJ_ORYSA","PSAJ","ORYSA","E9940","E",9940
"PSAJ_PEA","PSAJ","PEA","E9670","E",9670
"PSAJ_SPIOL","PSAJ","SPIOL","E9490","E",9490
"PSAJ_SYNEN","PSAJ","SYNEN","P0050","P",50
"PSAJ_SYNVU","PSAJ","SYNVU","P0050","P",50
"PSAJ_TOBAC","PSAJ","TOBAC","E9820","E",9820
"PSAK_ANAVA","PSAK","ANAVA","P0070","P",70
"PSAK_CHLRE","PSAK","CHLRE","E8620","E",8620
"PSAK_PEA","PSAK","PEA","E9670","E",9670
"PSAK_SPIOL","PSAK","SPIOL","E9490","E",9490
"PSAK_SYNEN","PSAK","SYNEN","P0050","P",50
"PSAK_SYNVU","PSAK","SYNVU","P0050","P",50
"PSAL_HORVU","PSAL","HORVU","E9940","E",9940
"PSB1_SYNP7","PSB1","SYNP7","P0050","P",50
"PSB1_SYNY3","PSB1","SYNY3","P0050","P",50
"PSB2_SYNP7","PSB2","SYNP7","P0050","P",50
"PSB2_SYNY3","PSB2","SYNY3","P0050","P",50
"PSBA_AMAHY","PSBA","AMAHY","E9500","E",9500
"PSBA_ANAAZ","PSBA","ANAAZ","P0070","P",70
"PSBA_ANTSP","PSBA","ANTSP","E8790","E",8790
"PSBA_BRANA","PSBA","BRANA","E9610","E",9610
"PSBA_CHLMO","PSBA","CHLMO","E8620","E",8620
