"group-ID","Spec-Type","Spec-No","1st level","2nd level","3rd level","4th level","5th level","6th level","7th level"
"E4500","E",4500,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","GRUIFORMES"
"E4520","E",4520,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","PASSERIFORMES"
"E4540","E",4540,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","PELECANIFORMES"
"E4560","E",4560,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","PHOENICOPTERIFORMES"
"E4570","E",4570,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","PICIFORMES"
"E4580","E",4580,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","PSITTACIFORMES"
"E4600","E",4600,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","SPHENISCIFORMES"
"E4610","E",4610,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","TROCHILIFORMES"
"E4620","E",4620,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","TURNICIFORMES"
"E5000","E",5000,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","MARSUPIALIA",
"E5050","E",5050,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","MONOTREMATA",
"E5100","E",5100,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","ARTIODACTYLA"
"E5110","E",5110,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","CARNIVORA"
"E5120","E",5120,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","CETACEA"
"E5130","E",5130,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","CHIROPTERA"
"E5140","E",5140,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","EDENTATA"
"E5150","E",5150,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","HYRACOIDEA"
"E5160","E",5160,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","INSECTIVORA"
"E5170","E",5170,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","MAMMALIA","EUTHERIA","LAGOMORPHA"
